intern_id,lat,lon,alt_netatmo,alt_meritdem,city,city_id,lcz
27058,51.27294,6.618799,41,42.6228294372559,Rhein-Kreis Neuss,2276,6
27059,51.266352,6.620188,42,43.2122840881348,Meerbusch,2276,6
27060,51.271147,6.626254,44,43.9948425292969,Rhein-Kreis Neuss,2276,6
27061,51.266092,6.633591,40,42.0103569030762,Rhein-Kreis Neuss,2276,6
27062,51.265859,6.646496,40,41.2779846191406,Rhein-Kreis Neuss,2276,6
27063,51.26051,6.66584999999998,38,37.8406295776367,Meerbusch,2276,6
27067,51.2695999145508,6.7480001449585,37,37.3670463562012,Dusseldorf,2276,6
27068,51.2681642,6.75012140000001,40,38.2086601257324,Dusseldorf,2276,6
27069,51.267091,6.751306,36,37.5767707824707,Dusseldorf,2276,6
27071,51.259355,6.755882,41,41.6586418151855,Dusseldorf,2276,6
27073,51.268394,6.756336,37,37.758918762207,Dusseldorf,2276,6
27074,51.2671102269757,6.76363909244537,40,40.30224609375,Dusseldorf,2276,6
27075,51.264531,6.7633515,43,40.2389678955078,Dusseldorf,2276,6
27076,51.2702005982066,6.76620064904137,40,40.8592185974121,Dusseldorf,2276,6
27078,51.269083,6.770346,41,41.1662673950195,Dusseldorf,2276,6
27079,51.270331,6.772434,38,40.6489410400391,Dusseldorf,2276,6
27080,51.272182,6.771147,39,40.9592742919922,Dusseldorf,2276,5
27081,51.2634944999404,6.77650730000004,39,41.1973571777344,Dusseldorf,2276,6
27082,51.271144,6.777032,42,41.6428184509277,Dusseldorf,2276,6
27084,51.2698605825403,6.78320575759853,36,39.5804214477539,Dusseldorf,2276,6
27085,51.2711780736054,6.7830491065979,40,40.2949142456055,Dusseldorf,2276,6
27086,51.2634761645854,6.78545810827235,38,39.2006340026855,Dusseldorf,2276,4
27087,51.267659,6.786157,39,40.196216583252,Dusseldorf,2276,6
27088,51.2608108520508,6.80859804153442,41,42.1024971008301,Dusseldorf,2276,5
27090,51.259811558647,6.81711901832807,44,43.5110740661621,Dusseldorf,2276,5
27091,51.264397,6.820937,42,44.0598106384277,Dusseldorf,2276,4
27093,51.269544,6.872416,121,122.739227294922,Dusseldorf,2276,6
27094,51.2697868347168,6.87271308898926,121,120.71174621582,Dusseldorf,2276,6
27095,51.265881,6.942105,154,156.907806396484,Kreis Mettmann,2276,6
27097,51.265043,6.946362,158,162.000671386719,Kreis Mettmann,2276,6
27099,51.268831,6.947504,147,146.215118408203,Kreis Mettmann,2276,6
27100,51.268847,6.950546,155,155.117614746094,Kreis Mettmann,2276,6
27101,51.2684131443252,6.9600037654771,169,169.858291625977,Kreis Mettmann,2276,6
27102,51.2638407350063,6.9624045373871,165,167.255844116211,Kreis Mettmann,2276,6
27104,51.259101,6.973883,154,156.063629150391,Kreis Mettmann,2276,6
27105,51.273092,7.027984,188,190.941589355469,Kreis Mettmann,2276,6
27106,51.264759,7.03128,161,163.105651855469,Mettmann,2276,14
27107,51.272749,7.032709,179,178.402801513672,Kreis Mettmann,2276,6
27108,51.268003,7.048449,193,193.529220581055,Kreis Mettmann,2276,9
27110,51.260769,7.086379,243,242.135726928711,Wuppertal,2276,11
27111,51.261377,7.093101,250,248.295013427734,Wuppertal,2276,6
27112,51.266195,7.106653,212,217.385223388672,Wuppertal,2276,6
27113,51.2598799,7.1160784,216,213.61784362793,Wuppertal,2276,6
27115,51.270977,7.112948,246,247.095581054688,Wuppertal,2276,6
27116,51.266055096051,7.11394756582823,261,258.354583740234,Wuppertal,2276,6
27119,51.259549,7.129014,170,169.692153930664,Wuppertal,2276,6
27121,51.274032,7.126478,258,261.067443847656,Wuppertal,2276,6
27122,51.2588167067374,7.13900778523305,185,183.919815063477,Wuppertal,2276,5
27123,51.259429,7.14077400000002,183,179.022094726562,Wuppertal,2276,2
27124,51.2700684,7.13690799999995,234,233.688171386719,Wuppertal,2276,6
27125,51.25889,7.150119,152,153.123397827148,Wuppertal,2276,2
27127,51.2783805849572,7.15038299560547,231,237.742065429688,Wuppertal,2276,6
27129,51.2593153,7.16093239999998,190,186.617172241211,Wuppertal,2276,5
27131,51.2589988708496,7.16949987411499,151,152.217437744141,Wuppertal,2276,5
27132,51.26768,7.178753,170,165.342315673828,Wuppertal,2276,5
27133,51.2686688,7.17669639999997,173,176.986099243164,Wuppertal,2276,6
27134,51.2667007446289,7.18330001831055,154,154.000228881836,Wuppertal,2276,6
27135,51.2699012756348,7.1838002204895,192,193.447555541992,Wuppertal,2276,6
27136,51.273936,7.184342,205,207.285263061523,Wuppertal,2276,6
27137,51.263743,7.187331,183,187.665496826172,Wuppertal,2276,5
27138,51.263947,7.189156,182,182.052749633789,Wuppertal,2276,5
27139,51.264325,7.192716,182,183.482635498047,Wuppertal,2276,5
27141,51.2713492587561,7.20250060645988,159,162.533340454102,Wuppertal,2276,2
27142,51.267799,7.206435,196,203.838912963867,Wuppertal,2276,2
27145,51.266846,7.213023,226,231.593841552734,Wuppertal,2276,6
27146,51.267308,7.213523,222,219.43473815918,Wuppertal,2276,6
